logL,rho_lerg,rho_lerg_nerr,rho_lerg_perr,N_lerg,rho_lerg_Q,rho_lerg_nerr_Q,rho_lerg_perr_Q,N_lerg_Q,rho_lerg_SF,rho_lerg_SF_nerr,rho_lerg_SF_perr,N_lerg_SF
24.15,-4.48,0.07,0.07,396,-4.84,0.08,0.08,166,-4.73,0.07,0.07,230
24.45,-4.66,0.04,0.04,545,-5.16,0.05,0.05,170,-4.82,0.04,0.04,375
24.75,-4.87,0.03,0.03,403,-5.43,0.04,0.04,111,-5.01,0.03,0.03,292
25.05,-5.15,0.03,0.03,224,-5.63,0.05,0.05,74,-5.33,0.04,0.03,150
25.35,-5.42,0.05,0.04,127,-5.8,0.06,0.06,53,-5.65,0.05,0.05,74
25.65,-5.56,0.04,0.04,94,-5.99,0.08,0.07,35,-5.77,0.05,0.05,59
25.95,-5.77,0.06,0.05,58,-6.09,0.09,0.07,28,-6.06,0.1,0.07,30
26.25,-5.98,0.08,0.07,36,-6.2,0.1,0.08,22,-6.39,0.16,0.09,14
26.55,-6.27,0.1,0.08,19,-6.59,0.18,0.12,9,-6.54,0.18,0.12,10
26.85,-6.25,0.12,0.1,20,-6.7,0.24,0.11,7,-6.43,0.11,0.12,13
27.15,-6.37,0.13,0.1,15,-6.94,0.3,0.18,4,-6.5,0.14,0.11,11
27.45,-6.94,0.3,0.18,4,-7.25,0.3,0.18,2,-7.25,0.3,0.18,2
